"topic","topic_slug","forecast_next_day","model_path","forecast_path"
"Myke Towers - Lala (Letra)","myke_towers_lala_letra",0.268754208546652,"data_forecasts/prophet_model_myke_towers_lala_letra_2025-11-09.rds","data_forecasts/forecast_myke_towers_lala_letra_2025-11-09.json"
"Michael | Official Trailer","michael_official_trailer",1000.71205481041,"data_forecasts/prophet_model_michael_official_trailer_2025-11-09.rds","data_forecasts/forecast_michael_official_trailer_2025-11-09.json"
"The Halloween Short Horror Watch Party...","the_halloween_short_horror_watch_party",3645.60825196766,"data_forecasts/prophet_model_the_halloween_short_horror_watch_party_2025-11-09.rds","data_forecasts/forecast_the_halloween_short_horror_watch_party_2025-11-09.json"
"Kill Bill: The Whole Bloody Affair (2025) Official Trailer - Uma Thurman","kill_bill_the_whole_bloody_affair_2025_official_trailer_uma",268.056369902725,"data_forecasts/prophet_model_kill_bill_the_whole_bloody_affair_2025_official_trailer_uma_2025-11-09.rds","data_forecasts/forecast_kill_bill_the_whole_bloody_affair_2025_official_trailer_uma_2025-11-09.json"
"The U.S. job market is slowing, not collapsing - Axios","the_us_job_market_is_slowing_not_collapsing_axios",118.318360363577,"data_forecasts/prophet_model_the_us_job_market_is_slowing_not_collapsing_axios_2025-11-09.rds","data_forecasts/forecast_the_us_job_market_is_slowing_not_collapsing_axios_2025-11-09.json"
"What does Elon Musk do with all his money? - BBC","what_does_elon_musk_do_with_all_his_money_bbc",-239.866092249284,"data_forecasts/prophet_model_what_does_elon_musk_do_with_all_his_money_bbc_2025-11-09.rds","data_forecasts/forecast_what_does_elon_musk_do_with_all_his_money_bbc_2025-11-09.json"
"Antonio Brown will go to Miami to face charges - ESPN","antonio_brown_will_go_to_miami_to_face_charges_espn",927.397673796341,"data_forecasts/prophet_model_antonio_brown_will_go_to_miami_to_face_charges_espn_2025-11-09.rds","data_forecasts/forecast_antonio_brown_will_go_to_miami_to_face_charges_espn_2025-11-09.json"
"Colts place DT DeForest Buckner on injured reserve - Colts.com","colts_place_dt_deforest_buckner_on_injured_reserve_coltscom",713.005751174962,"data_forecasts/prophet_model_colts_place_dt_deforest_buckner_on_injured_reserve_coltscom_2025-11-09.rds","data_forecasts/forecast_colts_place_dt_deforest_buckner_on_injured_reserve_coltscom_2025-11-09.json"
"NCAA: Six hoops players banned for betting plots - ESPN","ncaa_six_hoops_players_banned_for_betting_plots_espn",-34.1392878187178,"data_forecasts/prophet_model_ncaa_six_hoops_players_banned_for_betting_plots_espn_2025-11-09.rds","data_forecasts/forecast_ncaa_six_hoops_players_banned_for_betting_plots_espn_2025-11-09.json"
"F1 braced for potential cyclone disruption at Brazilian GP - The Race","f1_braced_for_potential_cyclone_disruption_at_brazilian_gp_",-18.15621104354,"data_forecasts/prophet_model_f1_braced_for_potential_cyclone_disruption_at_brazilian_gp__2025-11-09.rds","data_forecasts/forecast_f1_braced_for_potential_cyclone_disruption_at_brazilian_gp__2025-11-09.json"
"More people are dying before they turn 65. Who it impacts and what it means. - The Washington Post","more_people_are_dying_before_they_turn_65_who_it_impacts_and",30.3225874264463,"data_forecasts/prophet_model_more_people_are_dying_before_they_turn_65_who_it_impacts_and_2025-11-09.rds","data_forecasts/forecast_more_people_are_dying_before_they_turn_65_who_it_impacts_and_2025-11-09.json"
"A Doctorâ€™s Number-1 Fitness Tip for Women Over 50 - AOL.com","a_doctors_number1_fitness_tip_for_women_over_50_aolcom",253.901917225194,"data_forecasts/prophet_model_a_doctors_number1_fitness_tip_for_women_over_50_aolcom_2025-11-09.rds","data_forecasts/forecast_a_doctors_number1_fitness_tip_for_women_over_50_aolcom_2025-11-09.json"
"Gray Hair Protects Us From Cancer? - StudyFinds","gray_hair_protects_us_from_cancer_studyfinds",0.839137934047514,"data_forecasts/prophet_model_gray_hair_protects_us_from_cancer_studyfinds_2025-11-09.rds","data_forecasts/forecast_gray_hair_protects_us_from_cancer_studyfinds_2025-11-09.json"
"Why next year's flu shot might not be as good as it should be - NPR","why_next_years_flu_shot_might_not_be_as_good_as_it_should_be",-64.5904057181774,"data_forecasts/prophet_model_why_next_years_flu_shot_might_not_be_as_good_as_it_should_be_2025-11-09.rds","data_forecasts/forecast_why_next_years_flu_shot_might_not_be_as_good_as_it_should_be_2025-11-09.json"
